,form,form_count,lemma
552,pragnęła,1,pragnąć
553,pamiętaj,1,pamiętać
554,grała,1,grać
555,biedaczysko,1,
556,niczego,2,nic
557,lustro,1,lustro
558,miejscu,1,miejsce
559,tydzień,1,tydzień
560,zechce,1,
561,zdobyczy,1,
562,widmowe,1,
563,literatura,1,literatura
564,przybrała,1,
565,frazy,1,
566,kilku,1,
567,męża,1,mąż
568,łazienek,1,łazienka
569,więc,4,więc
570,wystąpiła,1,wystąpić
571,zamknięte,1,zamknąć
572,bardzo,1,bardzo
573,bogata,1,bogaty
574,szacunku,1,szacunek
575,błyszczały,1,
576,twarzą,1,twarz
577,odbiorze,1,
578,nieobecny,1,
579,aniela,1,
580,okresie,1,okres
581,przejął,1,
582,sola,1,
583,poetyka,1,
584,wolno,1,
585,batutą,1,
586,nurtu,1,nurt
587,pod,3,pod
588,widzieć,1,widzieć
589,każdej,1,każdy
590,najistotniejsze,1,
591,zdanie,1,zdać
592,normę,1,norma
593,formułują,1,
594,wymiarze,1,
595,wyraz,1,
596,gniewem,1,gniew
597,ławeczkach,1,
598,taka,1,taki
599,względu,1,wzgląd
600,zerknęła,1,
601,zawierał,1,zawierać
602,poczucie,1,poczuć
603,nowe,2,nowy
604,dokończyła,1,
605,bohaterom,1,
606,ścisłość,1,
607,konserwatorium,1,
608,cmentarnej,1,
609,nasłuchiwanie,1,
610,grą,1,gra
611,melonikach,1,
612,rangi,1,
613,śniadych,1,
614,żarliwie,1,
615,gdzież,1,
616,ciepłe,1,ciepły
617,zatrzasnął,1,
618,ocalająca,1,
619,zamykała,1,zamykać
620,między,1,
621,nigdy,1,nigdy
622,potop,1,
623,tajemnicę,2,
624,przedmiotu,1,przedmiot
625,obrzędowy,1,
626,chwilę,1,chwila
627,zięć,1,
628,wzmogło,1,
629,sytuacja,1,sytuacja
630,słowackiego,1,
631,płynie,1,płynąć
632,nocach,1,noc
633,a,6,a
634,wszystko,3,wszystko
635,róży,2,
636,drogę,1,droga
637,zaczerpnął,1,
638,całą,2,cały
639,ojca,1,
640,wydało,1,wydać
641,ręce,1,ręka
642,róża,9,
643,małą,1,mały
644,także,6,także
645,tym,3,to
646,wizję,2,wizja
647,słońcu,1,słońce
648,lecie,1,lato
649,każdego,1,każdy
650,czekając,1,czekać
651,twarzy,1,twarz
652,brakiem,1,
653,klucz,1,klucz
654,ludzkiego,1,
655,pokrowce,1,
656,sprawą,1,sprawa
657,wsiąkały,1,
658,próżnię,1,
659,krzemieniec,2,
660,teoretyków,1,
661,przed,2,przed
662,adeptce,1,
663,tamtym,1,tamten
664,uznać,1,
665,powlekła,1,
666,światu,1,świat
667,nowość,1,
668,wartością,1,wartość
669,stenia,1,
670,odniosła,1,
671,całej,1,cały
672,jedwabiu,1,
673,tego,3,to
674,czarnej,1,czarny
675,utkwionym,1,
676,krokodyla,1,
677,inaczej,1,
678,przedstawiała,1,
679,coraz,1,
680,córki,2,córka
681,zmęczona,1,zmęczony
682,zaowocowało,1,
683,sjesty,1,
684,widzenia,1,
685,koleżanek,1,
686,trwał,1,trwać
687,zabrakło,1,
688,dalej,2,dalej
689,stanęła,1,stanąć
690,łona,1,
691,ściśle,1,
692,szarady,1,
693,domu,3,dom
694,sam,1,
695,przycwałowała,1,
696,bezdźwięczny,1,
697,felietoniści,1,
698,irzykowskiego,1,
699,wędrówki,1,
700,wieczór,1,wieczór
701,doskonale,1,
702,są,2,być
703,najznakomitszych,1,
704,boga,1,bóg
705,dali,1,dać
706,usłyszała,1,usłyszeć
707,nieziemskiego,1,
708,które,2,który
709,furtkę,1,
710,uboga,1,
711,stworzenia,1,
712,pokrył,1,
713,to,9,to
714,barois,1,
715,drzwi,2,drzwi
716,miasto,1,miasto
717,fizyczny,1,fizyczny
718,wyobraźni,1,wyobraźnia
719,szpitalną,1,
720,własnego,1,własny
721,od,4,od
722,stopnia,1,stopień
723,cylindrach,1,
724,krzemieńcem,1,
725,rolę,2,
726,jedynej,2,
727,deklamować,1,
728,szumiące,1,
729,przyczyny,1,przyczyna
730,opuściła,1,
731,wyniósł,1,
732,bracką,1,
733,drzemały,1,drzemać
734,we,1,we
735,piecem,1,piec
736,panna,1,
737,ledwie,1,
738,oczy,1,oko
739,pierścionek,1,
740,dokuczało,1,
741,ogródkami,1,
742,nie,17,ono
743,ustanowi,1,
744,szkolnym,1,
745,na,16,
746,otarła,1,
747,podeszła,1,podejść
748,sobie,2,się
749,przytuliła,1,
750,wąskiej,1,wąski
751,swoim,1,swój
752,jaka,1,jaki
753,niż,1,niż
754,przy,2,przy
755,dla,2,dla
756,progu,1,
757,barwę,1,
758,ją,4,ona
759,kompozytora,1,
760,nogi,1,noga
